"nop", "No operation"

"add   $dest,$left,$right", "Addition with overflow : set $dest to ($left plus $right)"
"sub   $dest,$left,$right", "Subtraction with overflow : set $dest to ($left minus $right)"
"addi  $dest,$left,<signed>", "Addition immediate with overflow : set $dest to ($left plus signed 16-bit immediate)"
"addu  $dest,$left,$right", "Addition unsigned without overflow : set $dest to ($left plus $right), no overflow"
"subu  $dest,$left,$right", "Subtraction unsigned without overflow : set $dest to ($left minus $right), no overflow"
"addiu $dest,$left,<signed>", "Addition immediate unsigned without overflow : set $dest to ($left plus signed 16-bit immediate), no overflow"
"mult  $dest,$left", "Multiplication : Set hi to high-order 32 bits, lo to low-order 32 bits of the product of $dest and $left (use mfhi to access hi, mflo to access lo)"
"multu $dest,$left", "Multiplication unsigned : Set HI to high-order 32 bits, LO to low-order 32 bits of the product of unsigned $dest and $left (use mfhi to access HI, mflo to access LO)"
"mul   $dest,$left,$right", "Multiplication without overflow  : Set HI to high-order 32 bits, LO and $dest to low-order 32 bits of the product of $dest and $left (use mfhi to access HI, mflo to access LO)"
"madd  $dest,$left", "Multiply add : Multiply $dest by $left then increment HI by high-order 32 bits of product, increment LO by low-order 32 bits of product (use mfhi to access HI, mflo to access LO)"
"maddu $dest,$left", "Multiply add unsigned : Multiply $dest by $left then increment HI by high-order 32 bits of product, increment LO by low-order 32 bits of product, unsigned (use mfhi to access HI, mflo to access LO)"
"msub  $dest,$left", "Multiply subtract : Multiply $dest by $left then decrement HI by high-order 32 bits of product, decrement LO by low-order 32 bits of product (use mfhi to access HI, mflo to access LO)"
"msubu $dest,$left", "Multiply subtract unsigned : Multiply $dest by $left then decrement HI by high-order 32 bits of product, decement LO by low-order 32 bits of product, unsigned (use mfhi to access HI, mflo to access LO)"
"div   $dest,$left", "Division with overflow : Divide $dest by $left then set LO to quotient and HI to remainder (use mfhi to access HI, mflo to access LO)"
"divu  $dest,$left", "Division unsigned without overflow : Divide unsigned $dest by $left then set LO to quotient and HI to remainder (use mfhi to access HI, mflo to access LO)"

"mfhi $dest",  "Move from HI register : Set $dest to contents of HI (see multiply and divide operations)"
