/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld.asm SUCCESS CPI:4.1 VALID_CPI:3.4 CYCLES:217 ICOUNT:53 VALID_ICOUNT:63 IHITRATE: 95.8 DHITRATE: 157.5
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_large.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2404 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_large_1.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2338 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_large_2.asm SUCCESS CPI:2.2 VALID_CPI:1.9 CYCLES:2266 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_large_3.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2320 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_large_4.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2392 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_large_5.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2404 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_large_6.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2398 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_large_7.asm SUCCESS CPI:2.4 VALID_CPI:2.1 CYCLES:2434 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_large_8.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2344 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_large_9.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2332 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_small.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2404 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_small_1.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2338 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_small_2.asm SUCCESS CPI:2.2 VALID_CPI:1.9 CYCLES:2266 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_small_3.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2320 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_small_4.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2392 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_small_5.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2404 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_small_6.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2398 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_small_7.asm SUCCESS CPI:2.4 VALID_CPI:2.1 CYCLES:2434 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_small_8.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2344 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldld_rand_small_9.asm SUCCESS CPI:2.3 VALID_CPI:2.0 CYCLES:2332 ICOUNT:1028 VALID_ICOUNT:1174 IHITRATE: 99.7 DHITRATE: 133.7
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst.asm SUCCESS CPI:2.9 VALID_CPI:2.7 CYCLES:273 ICOUNT:93 VALID_ICOUNT:103 IHITRATE: 96.4 DHITRATE: 128.8
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_large.asm SUCCESS CPI:2.7 VALID_CPI:1.8 CYCLES:2575 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
/p/course/cs552-david/public/html/S10/project/tests/public/rand_ldst/ldst_rand_large_1.asm SUCCESS CPI:2.3 VALID_CPI:1.5 CYCLES:2251 ICOUNT:960 VALID_ICOUNT:1471 IHITRATE: 99.5 DHITRATE: 167.0
